County	State	Year	Population
Autauga County	Alabama	2010	54660
Autauga County	Alabama	2011	55253
Autauga County	Alabama	2012	55175
Autauga County	Alabama	2013	55038
Autauga County	Alabama	2014	55290
Autauga County	Alabama	2015	55347
Balance of Autauga County	Alabama	2010	21223
Balance of Autauga County	Alabama	2011	21283
Balance of Autauga County	Alabama	2012	21165
Balance of Autauga County	Alabama	2013	20774
Balance of Autauga County	Alabama	2014	20770
Balance of Autauga County	Alabama	2015	20686
Baldwin County	Alabama	2010	183193
Baldwin County	Alabama	2011	186659
Baldwin County	Alabama	2012	190396
Baldwin County	Alabama	2013	195126
Baldwin County	Alabama	2014	199713
Baldwin County	Alabama	2015	203709
Balance of Baldwin County	Alabama	2010	88422
Balance of Baldwin County	Alabama	2011	89855
Balance of Baldwin County	Alabama	2012	91398
Balance of Baldwin County	Alabama	2013	93107
Balance of Baldwin County	Alabama	2014	94759
Balance of Baldwin County	Alabama	2015	96059
Barbour County	Alabama	2010	27341
Barbour County	Alabama	2011	27226
Barbour County	Alabama	2012	27159
Barbour County	Alabama	2013	26973
Barbour County	Alabama	2014	26815
Barbour County	Alabama	2015	26489
Balance of Barbour County	Alabama	2010	8986
Balance of Barbour County	Alabama	2011	8896
Balance of Barbour County	Alabama	2012	8835
Balance of Barbour County	Alabama	2013	8779
Balance of Barbour County	Alabama	2014	8698
Balance of Barbour County	Alabama	2015	8595
Bibb County	Alabama	2010	22861
Bibb County	Alabama	2011	22733
Bibb County	Alabama	2012	22642
Bibb County	Alabama	2013	22512
Bibb County	Alabama	2014	22549
Bibb County	Alabama	2015	22583
Balance of Bibb County	Alabama	2010	12498
Balance of Bibb County	Alabama	2011	12411
Balance of Bibb County	Alabama	2012	12343
Balance of Bibb County	Alabama	2013	12244
Balance of Bibb County	Alabama	2014	12238
Balance of Bibb County	Alabama	2015	12232
Blount County	Alabama	2010	57373
Blount County	Alabama	2011	57711
Blount County	Alabama	2012	57776
Blount County	Alabama	2013	57734
Blount County	Alabama	2014	57658
Blount County	Alabama	2015	57673
Balance of Blount County	Alabama	2010	41769
Balance of Blount County	Alabama	2011	41989
Balance of Blount County	Alabama	2012	42037
Balance of Blount County	Alabama	2013	41999
Balance of Blount County	Alabama	2014	41940
Balance of Blount County	Alabama	2015	41953
Bullock County	Alabama	2010	10887
Bullock County	Alabama	2011	10629
Bullock County	Alabama	2012	10606
Bullock County	Alabama	2013	10628
Bullock County	Alabama	2014	10829
Bullock County	Alabama	2015	10696
Balance of Bullock County	Alabama	2010	6423
Balance of Bullock County	Alabama	2011	6280
Balance of Bullock County	Alabama	2012	6221
Balance of Bullock County	Alabama	2013	6261
Balance of Bullock County	Alabama	2014	6358
Balance of Bullock County	Alabama	2015	6289
Butler County	Alabama	2010	20944
Butler County	Alabama	2011	20673
Butler County	Alabama	2012	20408
Butler County	Alabama	2013	20261
Butler County	Alabama	2014	20276
Butler County	Alabama	2015	20154
Balance of Butler County	Alabama	2010	10551
Balance of Butler County	Alabama	2011	10411
Balance of Butler County	Alabama	2012	10269
Balance of Butler County	Alabama	2013	10186
Balance of Butler County	Alabama	2014	10196
Balance of Butler County	Alabama	2015	10137
Calhoun County	Alabama	2010	118437
Calhoun County	Alabama	2011	117768
Calhoun County	Alabama	2012	117286
Calhoun County	Alabama	2013	116575
Calhoun County	Alabama	2014	115993
Calhoun County	Alabama	2015	115620
Balance of Calhoun County	Alabama	2010	55563
Balance of Calhoun County	Alabama	2011	55197
Balance of Calhoun County	Alabama	2012	54895
Balance of Calhoun County	Alabama	2013	54587
Balance of Calhoun County	Alabama	2014	54301
Balance of Calhoun County	Alabama	2015	54056
Chambers County	Alabama	2010	34098
Chambers County	Alabama	2011	33993
Chambers County	Alabama	2012	34075
Chambers County	Alabama	2013	34153
Chambers County	Alabama	2014	34052
Chambers County	Alabama	2015	34123
Balance of Chambers County	Alabama	2010	14827
Balance of Chambers County	Alabama	2011	14778
Balance of Chambers County	Alabama	2012	14823
Balance of Chambers County	Alabama	2013	14857
Balance of Chambers County	Alabama	2014	14819
Balance of Chambers County	Alabama	2015	14853
Cherokee County	Alabama	2010	25976
Cherokee County	Alabama	2011	26080
Cherokee County	Alabama	2012	26023
Cherokee County	Alabama	2013	26084
Cherokee County	Alabama	2014	25995
Cherokee County	Alabama	2015	25859
Balance of Cherokee County	Alabama	2010	18940
Balance of Cherokee County	Alabama	2011	19011
Balance of Cherokee County	Alabama	2012	18908
Balance of Cherokee County	Alabama	2013	18943
Balance of Cherokee County	Alabama	2014	18874
Balance of Cherokee County	Alabama	2015	18776
Chilton County	Alabama	2010	43665
Chilton County	Alabama	2011	43739
Chilton County	Alabama	2012	43697
Chilton County	Alabama	2013	43795
Chilton County	Alabama	2014	43921
Chilton County	Alabama	2015	43943
Balance of Chilton County	Alabama	2010	29620
Balance of Chilton County	Alabama	2011	29645
Balance of Chilton County	Alabama	2012	29603
Balance of Chilton County	Alabama	2013	29650
Balance of Chilton County	Alabama	2014	29720
Balance of Chilton County	Alabama	2015	29631
Choctaw County	Alabama	2010	13841
Choctaw County	Alabama	2011	13593
Choctaw County	Alabama	2012	13543
Choctaw County	Alabama	2013	13378
Choctaw County	Alabama	2014	13289
Choctaw County	Alabama	2015	13170
Balance of Choctaw County	Alabama	2010	10297
Balance of Choctaw County	Alabama	2011	10109
Balance of Choctaw County	Alabama	2012	10074
Balance of Choctaw County	Alabama	2013	9950
Balance of Choctaw County	Alabama	2014	9884
Balance of Choctaw County	Alabama	2015	9798
Clarke County	Alabama	2010	25767
Clarke County	Alabama	2011	25570
Clarke County	Alabama	2012	25144
Clarke County	Alabama	2013	25116
Clarke County	Alabama	2014	24847
Clarke County	Alabama	2015	24675
Balance of Clarke County	Alabama	2010	14176
Balance of Clarke County	Alabama	2011	14067
Balance of Clarke County	Alabama	2012	13835
Balance of Clarke County	Alabama	2013	13818
Balance of Clarke County	Alabama	2014	13662
Balance of Clarke County	Alabama	2015	13564
Clay County	Alabama	2010	13880
Clay County	Alabama	2011	13670
Clay County	Alabama	2012	13456
Clay County	Alabama	2013	13467
Clay County	Alabama	2014	13538
Clay County	Alabama	2015	13555
Balance of Clay County	Alabama	2010	9465
Balance of Clay County	Alabama	2011	9320
Balance of Clay County	Alabama	2012	9174
Balance of Clay County	Alabama	2013	9185
Balance of Clay County	Alabama	2014	9238
Balance of Clay County	Alabama	2015	9253
Cleburne County	Alabama	2010	14973
Cleburne County	Alabama	2011	14971
Cleburne County	Alabama	2012	14921
Cleburne County	Alabama	2013	15028
Cleburne County	Alabama	2014	15072
Cleburne County	Alabama	2015	15018
Balance of Cleburne County	Alabama	2010	10598
Balance of Cleburne County	Alabama	2011	10585
Balance of Cleburne County	Alabama	2012	10551
Balance of Cleburne County	Alabama	2013	10628
Balance of Cleburne County	Alabama	2014	10661
Balance of Cleburne County	Alabama	2015	10624
Coffee County	Alabama	2010	50177
Coffee County	Alabama	2011	50448
Coffee County	Alabama	2012	51173
Coffee County	Alabama	2013	50755
Coffee County	Alabama	2014	50831
Coffee County	Alabama	2015	51211
Balance of Coffee County	Alabama	2010	18243
Balance of Coffee County	Alabama	2011	18158
Balance of Coffee County	Alabama	2012	18260
Balance of Coffee County	Alabama	2013	18044
Balance of Coffee County	Alabama	2014	18014
Balance of Coffee County	Alabama	2015	18115
Colbert County	Alabama	2010	54514
Colbert County	Alabama	2011	54443
Colbert County	Alabama	2012	54472
Colbert County	Alabama	2013	54471
Colbert County	Alabama	2014	54480
Colbert County	Alabama	2015	54354
Balance of Colbert County	Alabama	2010	20887
Balance of Colbert County	Alabama	2011	20799
Balance of Colbert County	Alabama	2012	20727
Balance of Colbert County	Alabama	2013	20610
Balance of Colbert County	Alabama	2014	20494
Balance of Colbert County	Alabama	2015	20350
Conecuh County	Alabama	2010	13208
Conecuh County	Alabama	2011	13121
Conecuh County	Alabama	2012	12996
