City	State	Incorporation	Year	Population
Mesa 	Arizona	city	2010	440853
Mesa 	Arizona	city	2011	445450
Mesa 	Arizona	city	2012	452855
Mesa 	Arizona	city	2013	458897
Mesa 	Arizona	city	2014	465378
Mesa 	Arizona	city	2015	471825
Anaheim 	California	city	2015	350742
Bakersfield 	California	city	2011	353581
Bakersfield 	California	city	2012	358106
Bakersfield 	California	city	2013	363956
Bakersfield 	California	city	2014	368694
Bakersfield 	California	city	2015	373640
Fresno 	California	city	2010	496967
Long Beach 	California	city	2010	462633
Long Beach 	California	city	2011	465533
Long Beach 	California	city	2012	468601
Long Beach 	California	city	2013	470536
Long Beach 	California	city	2014	472430
Long Beach 	California	city	2015	474140
Oakland 	California	city	2010	391752
Oakland 	California	city	2011	396786
Oakland 	California	city	2012	402074
Oakland 	California	city	2013	407885
Oakland 	California	city	2014	414339
Oakland 	California	city	2015	419267
Sacramento 	California	city	2010	467595
Sacramento 	California	city	2011	471604
Sacramento 	California	city	2012	475515
Sacramento 	California	city	2013	479955
Sacramento 	California	city	2014	484990
Sacramento 	California	city	2015	490712
Aurora 	Colorado	city	2014	352706
Aurora 	Colorado	city	2015	359407
Colorado Springs 	Colorado	city	2010	420644
Colorado Springs 	Colorado	city	2011	428031
Colorado Springs 	Colorado	city	2012	434576
Colorado Springs 	Colorado	city	2013	442102
Colorado Springs 	Colorado	city	2014	448961
Colorado Springs 	Colorado	city	2015	456568
Miami 	Florida	city	2010	401054
Miami 	Florida	city	2011	412464
Miami 	Florida	city	2012	416952
Miami 	Florida	city	2013	421410
Miami 	Florida	city	2014	431376
Miami 	Florida	city	2015	441003
Tampa 	Florida	city	2013	353199
Tampa 	Florida	city	2014	360021
Tampa 	Florida	city	2015	369075
Atlanta 	Georgia	city	2010	422753
Atlanta 	Georgia	city	2011	432092
Atlanta 	Georgia	city	2012	444002
Atlanta 	Georgia	city	2013	448312
Atlanta 	Georgia	city	2014	456143
Atlanta 	Georgia	city	2015	463878
Atlanta 	Georgia	city (pt.)	2010	394161
Atlanta 	Georgia	city (pt.)	2011	403286
Atlanta 	Georgia	city (pt.)	2012	414743
Atlanta 	Georgia	city (pt.)	2013	418573
Atlanta 	Georgia	city (pt.)	2014	425509
Atlanta 	Georgia	city (pt.)	2015	432368
Urban Honolulu CDP	Hawaii		2014	350495
Urban Honolulu CDP	Hawaii		2015	352769
Wichita 	Kansas	city	2010	382872
Wichita 	Kansas	city	2011	383818
Wichita 	Kansas	city	2012	385865
Wichita 	Kansas	city	2013	387419
Wichita 	Kansas	city	2014	388812
Wichita 	Kansas	city	2015	389965
New Orleans 	Louisiana	city	2011	360779
New Orleans 	Louisiana	city	2012	370011
New Orleans 	Louisiana	city	2013	378921
New Orleans 	Louisiana	city	2014	384360
New Orleans 	Louisiana	city	2015	389617
East Baton Rouge 	Louisiana	Parish	2010	440722
East Baton Rouge 	Louisiana	Parish	2011	441371
East Baton Rouge 	Louisiana	Parish	2012	444135
East Baton Rouge 	Louisiana	Parish	2013	445129
East Baton Rouge 	Louisiana	Parish	2014	446064
