City	State	Incorporation	Year	Population
Alabaster 	Alabama	city	2010	31095
Alabaster 	Alabama	city	2011	31281
Alabaster 	Alabama	city	2012	31587
Alabaster 	Alabama	city	2013	31890
Alabaster 	Alabama	city	2014	32115
Alabaster 	Alabama	city	2015	32707
Albertville 	Alabama	city	2010	21151
Albertville 	Alabama	city	2011	21341
Albertville 	Alabama	city	2012	21397
Albertville 	Alabama	city	2013	21423
Albertville 	Alabama	city	2014	21394
Albertville 	Alabama	city	2015	21462
Alexander City 	Alabama	city	2010	14834
Alexander City 	Alabama	city	2011	14822
Alexander City 	Alabama	city	2012	14734
Alexander City 	Alabama	city	2013	14841
Alexander City 	Alabama	city	2014	14830
Alexander City 	Alabama	city	2015	14718
Andalusia 	Alabama	city	2010	9025
Andalusia 	Alabama	city	2011	9094
Andalusia 	Alabama	city	2012	9037
Andalusia 	Alabama	city	2013	9045
Andalusia 	Alabama	city	2014	9075
Andalusia 	Alabama	city	2015	9063
Anniston 	Alabama	city	2010	23070
Anniston 	Alabama	city	2011	22909
Anniston 	Alabama	city	2012	22761
Anniston 	Alabama	city	2013	22616
Anniston 	Alabama	city	2014	22474
Anniston 	Alabama	city	2015	22347
Arab 	Alabama	city	2010	8102
Arab 	Alabama	city	2011	8187
Arab 	Alabama	city	2012	8232
Arab 	Alabama	city	2013	8259
Arab 	Alabama	city	2014	8259
Arab 	Alabama	city	2015	8295
Athens 	Alabama	city	2010	22012
Athens 	Alabama	city	2011	22806
Athens 	Alabama	city	2012	23438
Athens 	Alabama	city	2013	23909
Athens 	Alabama	city	2014	24504
Athens 	Alabama	city	2015	24966
Atmore 	Alabama	city	2010	10191
Atmore 	Alabama	city	2011	10152
Atmore 	Alabama	city	2012	10114
Atmore 	Alabama	city	2013	10023
Atmore 	Alabama	city	2014	10059
Atmore 	Alabama	city	2015	10049
Attalla 	Alabama	city	2010	6045
Attalla 	Alabama	city	2011	6019
Attalla 	Alabama	city	2012	6005
Attalla 	Alabama	city	2013	5971
Attalla 	Alabama	city	2014	5935
Attalla 	Alabama	city	2015	5899
Bay Minette 	Alabama	city	2010	8347
Bay Minette 	Alabama	city	2011	8495
Bay Minette 	Alabama	city	2012	8637
Bay Minette 	Alabama	city	2013	8916
Bay Minette 	Alabama	city	2014	9037
Bay Minette 	Alabama	city	2015	9118
Bessemer 	Alabama	city	2010	27430
Bessemer 	Alabama	city	2011	27354
Bessemer 	Alabama	city	2012	27207
Bessemer 	Alabama	city	2013	27032
Bessemer 	Alabama	city	2014	26918
Bessemer 	Alabama	city	2015	26730
Boaz 	Alabama	city	2010	9484
Boaz 	Alabama	city	2011	9552
Boaz 	Alabama	city	2012	9620
Boaz 	Alabama	city	2013	9646
Boaz 	Alabama	city	2014	9669
Boaz 	Alabama	city	2015	9688
Brewton 	Alabama	city	2010	5399
Brewton 	Alabama	city	2011	5444
Brewton 	Alabama	city	2012	5425
Brewton 	Alabama	city	2013	5408
Brewton 	Alabama	city	2014	5396
Brewton 	Alabama	city	2015	5434
Calera 	Alabama	city	2010	11729
Calera 	Alabama	city	2011	12114
Calera 	Alabama	city	2012	12436
Calera 	Alabama	city	2013	12719
Calera 	Alabama	city	2014	12944
Calera 	Alabama	city	2015	13213
Center Point 	Alabama	city	2010	16928
Center Point 	Alabama	city	2011	16920
Center Point 	Alabama	city	2012	16905
Center Point 	Alabama	city	2013	16821
Center Point 	Alabama	city	2014	16767
Center Point 	Alabama	city	2015	16655
Chelsea 	Alabama	city	2010	10581
Chelsea 	Alabama	city	2011	10720
Chelsea 	Alabama	city	2012	10959
Chelsea 	Alabama	city	2013	11370
Chelsea 	Alabama	city	2014	11770
Chelsea 	Alabama	city	2015	12059
Chickasaw 	Alabama	city	2010	6090
Chickasaw 	Alabama	city	2011	6059
Chickasaw 	Alabama	city	2012	6026
Chickasaw 	Alabama	city	2013	5998
Chickasaw 	Alabama	city	2014	5975
Chickasaw 	Alabama	city	2015	5954
Childersburg 	Alabama	city	2010	5165
Childersburg 	Alabama	city	2011	5148
Childersburg 	Alabama	city	2012	5130
Childersburg 	Alabama	city	2013	5096
Childersburg 	Alabama	city	2014	5080
Childersburg 	Alabama	city	2015	5046
Clanton 	Alabama	city	2010	8628
Clanton 	Alabama	city	2011	8661
Clanton 	Alabama	city	2012	8658
Clanton 	Alabama	city	2013	8687
Clanton 	Alabama	city	2014	8725
Clanton 	Alabama	city	2015	8844
Clay 	Alabama	city	2010	9682
Clay 	Alabama	city	2011	9703
Clay 	Alabama	city	2012	9673
Clay 	Alabama	city	2013	9695
Clay 	Alabama	city	2014	9694
Clay 	Alabama	city	2015	9655
Cullman 	Alabama	city	2010	14818
Cullman 	Alabama	city	2011	14819
Cullman 	Alabama	city	2012	14872
Cullman 	Alabama	city	2013	14980
Cullman 	Alabama	city	2014	15134
Cullman 	Alabama	city	2015	15350
Daleville 	Alabama	city	2010	5302
Daleville 	Alabama	city	2011	5240
Daleville 	Alabama	city	2012	5255
Daleville 	Alabama	city	2013	5185
Daleville 	Alabama	city	2014	5144
Daleville 	Alabama	city	2015	5141
Daphne 	Alabama	city	2010	21812
Daphne 	Alabama	city	2011	22286
Daphne 	Alabama	city	2012	22825
Daphne 	Alabama	city	2013	23494
Daphne 	Alabama	city	2014	24344
Daphne 	Alabama	city	2015	24896
Demopolis 	Alabama	city	2010	7452
Demopolis 	Alabama	city	2011	7407
Demopolis 	Alabama	city	2012	7313
Demopolis 	Alabama	city	2013	7223
Demopolis 	Alabama	city	2014	7191
Demopolis 	Alabama	city	2015	7148
Enterprise 	Alabama	city	2010	26773
Enterprise 	Alabama	city	2011	27151
Enterprise 	Alabama	city	2012	27751
Enterprise 	Alabama	city	2013	27613
Enterprise 	Alabama	city	2014	27730
Enterprise 	Alabama	city	2015	27978
Eufaula 	Alabama	city	2010	13073
Eufaula 	Alabama	city	2011	12919
Eufaula 	Alabama	city	2012	12929
Eufaula 	Alabama	city	2013	12832
Eufaula 	Alabama	city	2014	12769
Eufaula 	Alabama	city	2015	12596
Fairfield 	Alabama	city	2010	11101
Fairfield 	Alabama	city	2011	11057
Fairfield 	Alabama	city	2012	10992
Fairfield 	Alabama	city	2013	11015
Fairfield 	Alabama	city	2014	10978
Fairfield 	Alabama	city	2015	10907
Fairhope 	Alabama	city	2010	15432
Fairhope 	Alabama	city	2011	15937
Fairhope 	Alabama	city	2012	16465
Fairhope 	Alabama	city	2013	17310
Fairhope 	Alabama	city	2014	18051
Fairhope 	Alabama	city	2015	18730
Florence 	Alabama	city	2010	39364
Florence 	Alabama	city	2011	39416
Florence 	Alabama	city	2012	39657
Florence 	Alabama	city	2013	39936
Florence 	Alabama	city	2014	40218
Florence 	Alabama	city	2015	40026
Foley 	Alabama	city	2010	15259
Foley 	Alabama	city	2011	15547
Foley 	Alabama	city	2012	15865
Foley 	Alabama	city	2013	16296
Foley 	Alabama	city	2014	16750
Foley 	Alabama	city	2015	17218
Fort Payne 	Alabama	city	2010	14119
Fort Payne 	Alabama	city	2011	14178
Fort Payne 	Alabama	city	2012	14090
Fort Payne 	Alabama	city	2013	14070
Fort Payne 	Alabama	city	2014	14115
Fort Payne 	Alabama	city	2015	14150
Fultondale 	Alabama	city	2010	8380
Fultondale 	Alabama	city	2011	8435
Fultondale 	Alabama	city	2012	8541
Fultondale 	Alabama	city	2013	8745
Fultondale 	Alabama	city	2014	8903
Fultondale 	Alabama	city	2015	9048
Gadsden 	Alabama	city	2010	36880
Gadsden 	Alabama	city	2011	36747
Gadsden 	Alabama	city	2012	36665
Gadsden 	Alabama	city	2013	36473
Gadsden 	Alabama	city	2014	36281
Gadsden 	Alabama	city	2015	36084
Gardendale 	Alabama	city	2010	13893
Gardendale 	Alabama	city	2011	13854
Gardendale 	Alabama	city	2012	13793
Gardendale 	Alabama	city	2013	13739
Gardendale 	Alabama	city	2014	13730
Gardendale 	Alabama	city	2015	13711
Glencoe 	Alabama	city	2010	5166
Glencoe 	Alabama	city	2011	5177
Glencoe 	Alabama	city	2012	5198
Glencoe 	Alabama	city	2013	5186
Glencoe 	Alabama	city	2014	5170
Glencoe 	Alabama	city	2015	5153
Greenville 	Alabama	city	2010	8135
